bib_key,entry_type,title,authors,year,venue,doi,url
Geisslinger2023Maximum,article,Maximum Acceptable Risk as Criterion for Decision-Making in Autonomous Vehicle Trajectory Planning,Maximilian Geisslinger and Rainer Trauth and Gemb Kaljavesi and Markus Lienkamp,2023,IEEE Open Journal of Intelligent Transportation Systems,10.1109/ojits.2023.3298973,https://doi.org/10.1109/ojits.2023.3298973
Wang2022Hybrid,inproceedings,Hybrid Eyes: Design and Evaluation of the Prediction-Level Cooperative Driving with a Real-World Automated Driving System,Chao Wang and Derck Chu and Marieke Martens and Matti KrüGer and Thomas H. Weisswange,2022,Proceedings of the 14th International Conference on Automotive User Interfaces and Interactive Vehicular Applications,10.1145/3543174.3546832,https://doi.org/10.1145/3543174.3546832
Geisslinger2021Autonomous,article,Autonomous Driving Ethics: from Trolley Problem to Ethics of Risk,"Geisslinger, Maximilian and Poszler, Franziska and Betz, Johannes and Lütge, Christoph and Lienkamp, Markus",2021,Philosophy \& Technology,10.1007/s13347-021-00449-4,https://doi.org/10.1007/s13347-021-00449-4
Tian2025Efficient,article,Efficient and Balanced Exploration-Driven Decision Making for Autonomous Racing Using Local Information,Z. Tian and D. Zhao and Z. Lin and W. Zhao and D. Flynn and Y. Jiang and D. Tian and Y. Zhang and Y. Sun,2025,IEEE Transactions on Intelligent Vehicles,10.1109/tiv.2024.3432713,https://doi.org/10.1109/tiv.2024.3432713
Jekl2025ScenarioVelocityPlanning,article,Scenario-Optimization-Based Velocity Planning of Autonomous Vehicles for Interacting with Pedestrians,Bence Jekl and Zvonimir Dabcevi\'c and Bal\'azs N\'emeth and Branimir Skugor and P\'eter G\'asp\'ar,2025,IEEE Transactions on Intelligent Transportation Systems,10.1109/tits.2025.3531506,https://doi.org/10.1109/TITS.2025.3531506
Dallas2023Adaptive,article,Adaptive nonlinear model predictive control: maximizing tire force and obstacle avoidance in autonomous vehicles,J. Dallas and M. Thompson and J. Y. M. Goh and A. Balachandran,2023,Field Robotics,10.55417/fr.2023006,https://doi.org/10.55417/fr.2023006
Jo2024Motion,article,Motion Planning for Urban Autonomous Bus Considering Localization Uncertainty Using Offset-Free MPC,"Jo, Ara and Kwon, Woojin and Yi, Kyongsu",2024,IEEE Access,10.1109/access.2024.3355205,https://doi.org/10.1109/access.2024.3355205
Tho2020Solutions,article,Solutions for building a system to support motion control for autonomous vehicle,"Tho, Quach Hai and Phap, Huynh Cong and Phuong, Pham Anh",2020,Advances in Science Technology and Engineering Systems Journal,10.25046/aj050373,https://doi.org/10.25046/aj050373
Grabowsky2025Does,inproceedings,Does Knowledge About Perceptual Uncertainty Help an Agent in Automated Driving?,Natalie Grabowsky and Annika Mutze and Joshua Wendland and Nils Jansen and Matthias Rottmann,2025,IEEE IV 2025; CVPRW 2026 related version,,
Packer2023Is,inproceedings,Is Anyone There? Learning a Planner Contingent on Perceptual Uncertainty,"Packer, Charles and Rhinehart, Nicholas and McAllister, Rowan and Wright, Matthew A. and Wang, Xin and He, Jeff and Levine, Sergey and Gonzalez, Joseph E.",2023,Proceedings of Machine Learning Research,,
